sector,variant,ma_pair,fast_window,slow_window,threshold_label,threshold_pct,volume_label,use_volume_filter,volume_window,volume_multiplier,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
Energi,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,24,17,70.83333333333334,67.5,True
Energi,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,13,9,69.23076923076923,66.66666666666667,True
Energi,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,16,11,68.75,62.5,True
Energi,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,20,13,65.0,59.375,True
Energi,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,10,6,60.0,56.25,True
Energi,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,21,12,57.14285714285714,57.407407407407405,True
Energi,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,52,29,55.769230769230774,53.273809523809526,True
Energi,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,11,6,54.54545454545454,55.0,True
Energi,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,34,18,52.94117647058824,43.75,True
Energi,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,46,24,52.17391304347826,46.91358024691358,True
Energi,SMA14/SMA21 | No Threshold | No Volume Filter,SMA14/SMA21,14,21,No Threshold,0.0,No Volume Filter,False,20,0.0,107,55,51.4018691588785,53.03418803418804,True
Energi,SMA14/SMA21 | No Threshold | Volume >= VolMA20,SMA14/SMA21,14,21,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,43,22,51.162790697674424,48.76543209876544,True
Energi,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,22,11,50.0,40.625,True
Energi,SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,49,24,48.97959183673469,52.976190476190474,True
Energi,SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,31,15,48.38709677419355,50.0,True
Energi,SMA14/SMA21 | Threshold 0.10% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,71,33,46.478873239436616,50.925925925925924,True
Energi,SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,18,8,44.44444444444444,43.333333333333336,True
Energi,SMA14/SMA21 | Threshold 0.10% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,27,12,44.44444444444444,40.83333333333333,True
Energi,SMA14/SMA21 | Threshold 0.25% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,16,7,43.75,42.30769230769231,True
Energi,SMA14/SMA21 | Threshold 0.25% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,47,19,40.42553191489361,47.023809523809526,True
Energi,SMA14/SMA21 | Threshold 0.50% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,13,5,38.46153846153847,35.0,True
Energi,SMA14/SMA21 | Threshold 0.50% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,32,12,37.5,35.83333333333333,True
Energi,SMA20/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,7,5,71.42857142857143,66.66666666666667,False
Energi,SMA20/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,6,4,66.66666666666666,66.66666666666667,False
Finansial,SMA14/SMA21 | Threshold 0.50% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,10,8,80.0,80.0,True
Finansial,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,15,9,60.0,66.66666666666667,True
Finansial,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,10,6,60.0,61.111111111111114,True
Finansial,SMA14/SMA21 | Threshold 0.25% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,34,20,58.82352941176471,60.833333333333336,True
Finansial,SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,40,23,57.49999999999999,56.0,True
Finansial,SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,62,34,54.83870967741935,57.323232323232325,True
Finansial,SMA14/SMA21 | Threshold 0.10% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,84,45,53.57142857142857,49.76851851851851,True
Finansial,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,15,8,53.333333333333336,53.84615384615385,True
Finansial,SMA14/SMA21 | No Threshold | No Volume Filter,SMA14/SMA21,14,21,No Threshold,0.0,No Volume Filter,False,20,0.0,151,79,52.317880794701985,56.71883671883672,True
Finansial,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,24,12,50.0,50.0,True
Finansial,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,35,17,48.57142857142857,56.25,True
Finansial,SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,21,10,47.61904761904761,53.125,True
Finansial,SMA14/SMA21 | No Threshold | Volume >= VolMA20,SMA14/SMA21,14,21,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,53,25,47.16981132075472,48.275862068965516,True
Finansial,SMA14/SMA21 | Threshold 0.10% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,28,13,46.42857142857143,43.47826086956522,True
Finansial,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,22,10,45.45454545454545,50.0,True
Finansial,SMA14/SMA21 | Threshold 0.25% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,11,5,45.45454545454545,50.0,True
Finansial,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,31,14,45.16129032258064,51.51515151515151,True
Finansial,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,18,8,44.44444444444444,50.0,True
Finansial,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,79,35,44.303797468354425,52.73148148148148,True
Finansial,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,50,20,40.0,43.01075268817204,True
Finansial,SMA20/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,2,1,50.0,50.0,False
Finansial,SMA20/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,7,3,42.857142857142854,41.666666666666664,False
Finansial,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,6,2,33.33333333333333,33.333333333333336,False
Finansial,SMA14/SMA21 | Threshold 0.50% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,3,1,33.33333333333333,33.333333333333336,False
Industri,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,12,8,66.66666666666666,66.66666666666667,True
Industri,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,20,13,65.0,62.82051282051282,True
Industri,SMA14/SMA21 | Threshold 0.25% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,19,12,63.1578947368421,66.66666666666667,True
Industri,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,16,10,62.5,62.5,True
Industri,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,29,17,58.620689655172406,57.93650793650794,True
Industri,SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,31,18,58.06451612903226,55.76923076923077,True
Industri,SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,39,22,56.41025641025641,60.3448275862069,True
Industri,SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,16,9,56.25,53.57142857142857,True
Industri,SMA14/SMA21 | Threshold 0.10% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,36,20,55.55555555555556,58.62068965517241,True
Industri,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,11,6,54.54545454545454,55.55555555555556,True
Industri,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,15,8,53.333333333333336,53.84615384615385,True
Industri,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,47,25,53.191489361702125,55.654761904761905,True
Industri,SMA14/SMA21 | Threshold 0.25% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,42,22,52.38095238095239,50.0,True
Industri,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,54,28,51.85185185185185,56.60919540229885,True
Industri,SMA14/SMA21 | No Threshold | Volume >= VolMA20,SMA14/SMA21,14,21,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,57,29,50.877192982456144,50.0,True
Industri,SMA14/SMA21 | Threshold 0.10% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,83,42,50.602409638554214,47.22222222222222,True
Industri,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,26,13,50.0,54.62962962962963,True
Industri,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,22,11,50.0,52.083333333333336,True
Industri,SMA14/SMA21 | No Threshold | No Volume Filter,SMA14/SMA21,14,21,No Threshold,0.0,No Volume Filter,False,20,0.0,131,63,48.091603053435115,45.64102564102564,True
Industri,SMA14/SMA21 | Threshold 0.50% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,12,5,41.66666666666667,50.0,True
Industri,SMA20/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,8,6,75.0,75.0,False
Industri,SMA14/SMA21 | Threshold 0.50% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,4,3,75.0,75.0,False
Industri,SMA20/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,4,3,75.0,75.0,False
Industri,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,5,3,60.0,60.0,False
Teknologi,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,13,10,76.92307692307693,81.81818181818181,True
Teknologi,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,13,9,69.23076923076923,68.18181818181819,True
Teknologi,SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,44,28,63.63636363636363,66.11111111111111,True
Teknologi,SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,19,12,63.1578947368421,75.0,True
Teknologi,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,19,12,63.1578947368421,59.375,True
Teknologi,SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,32,20,62.5,66.66666666666667,True
Teknologi,SMA14/SMA21 | Threshold 0.50% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,22,12,54.54545454545454,56.25,True
Teknologi,SMA14/SMA21 | Threshold 0.25% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,52,28,53.84615384615385,49.42528735632184,True
Teknologi,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,46,22,47.82608695652174,47.32142857142857,True
Teknologi,SMA14/SMA21 | No Threshold | Volume >= VolMA20,SMA14/SMA21,14,21,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,45,21,46.666666666666664,50.69444444444445,True
Teknologi,SMA14/SMA21 | Threshold 0.10% | No Volume Filter,SMA14/SMA21,14,21,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,81,37,45.67901234567901,46.306306306306304,True
Teknologi,SMA14/SMA21 | No Threshold | No Volume Filter,SMA14/SMA21,14,21,No Threshold,0.0,No Volume Filter,False,20,0.0,129,58,44.96124031007752,45.45238095238095,True
Teknologi,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,39,17,43.58974358974359,45.83333333333333,True
Teknologi,SMA14/SMA21 | Threshold 0.25% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,19,8,42.10526315789473,40.0,True
Teknologi,SMA14/SMA21 | Threshold 0.10% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,30,12,40.0,41.228070175438596,True
Teknologi,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,18,7,38.88888888888889,42.30769230769231,True
Teknologi,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,27,9,33.33333333333333,35.60606060606061,True
Teknologi,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,19,6,31.57894736842105,32.35294117647059,True
Teknologi,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,14,4,28.57142857142857,33.333333333333336,True
Teknologi,SMA20/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,4,4,100.0,100.0,False
Teknologi,SMA20/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,6,5,83.33333333333334,83.33333333333333,False
Teknologi,SMA14/SMA21 | Threshold 0.50% | Volume >= VolMA20,SMA14/SMA21,14,21,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,7,3,42.857142857142854,42.857142857142854,False
Teknologi,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,9,1,11.11111111111111,14.285714285714286,False
Teknologi,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,7,0,0.0,0.0,False
