sector,indicator,variant,level_label,lower_level,upper_level,sma50_label,use_sma50_filter,candle_label,use_candle_confirmation,volume_label,use_volume_filter,volume_window,volume_multiplier,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
Finansial,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,8,1,12.5,14.285714285714286,False
Industri,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,77,38,49.35064935064935,55.18018018018017,True
Industri,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 30/70,30,70,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,106,52,49.056603773584904,49.86486486486486,True
Industri,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 25/75,25,75,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,96,47,48.95833333333333,49.27927927927928,True
Industri,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 30/70,30,70,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,139,68,48.92086330935252,52.17948717948718,True
Industri,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 30/70,30,70,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,46,22,47.82608695652174,48.76543209876544,True
Industri,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 35/65,35,65,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,62,29,46.774193548387096,51.86868686868687,True
Industri,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,30,14,46.666666666666664,53.333333333333336,True
Industri,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,75,34,45.33333333333333,43.80952380952381,True
Industri,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,29,13,44.827586206896555,50.87719298245614,True
Industri,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 30/70,30,70,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,56,25,44.642857142857146,46.236559139784944,True
Industri,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 40/60,40,60,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,50,22,44.0,46.66666666666667,True
Industri,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,176,75,42.61363636363637,46.73511904761905,True
Industri,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,159,67,42.138364779874216,43.1516290726817,True
Industri,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,19,8,42.10526315789473,46.875,True
Industri,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 40/60,40,60,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,63,26,41.269841269841265,47.8735632183908,True
Industri,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,81,33,40.74074074074074,50.27777777777778,True
Industri,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 35/65,35,65,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,135,55,40.74074074074074,42.69230769230769,True
Industri,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,214,87,40.654205607476634,43.794642857142854,True
Industri,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,67,27,40.298507462686565,44.411764705882355,True
Industri,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 30/70,30,70,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,18,7,38.88888888888889,40.0,True
Industri,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,16,6,37.5,42.30769230769231,True
Industri,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 30/70,30,70,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,11,4,36.36363636363637,36.36363636363637,True
Industri,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,39,14,35.8974358974359,31.0,True
Industri,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,35,12,34.285714285714285,40.57971014492754,True
Industri,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,35,12,34.285714285714285,30.3030303030303,True
Industri,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 30/70,30,70,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,13,4,30.76923076923077,33.333333333333336,True
Industri,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,10,3,30.0,27.77777777777778,True
Industri,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,28,8,28.57142857142857,31.666666666666668,True
Industri,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 30/70,30,70,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,9,3,33.33333333333333,33.333333333333336,False
Industri,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,5,1,20.0,20.0,False
Industri,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,7,0,0.0,0.0,False
Industri,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,4,0,0.0,0.0,False
Teknologi,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 30/70,30,70,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,15,10,66.66666666666666,69.23076923076923,True
Teknologi,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 30/70,30,70,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,17,10,58.82352941176471,60.0,True
Teknologi,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 40/60,40,60,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,55,30,54.54545454545454,50.0,True
Teknologi,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,28,15,53.57142857142857,53.50877192982456,True
Teknologi,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,45,24,53.333333333333336,50.952380952380956,True
Teknologi,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,44,23,52.27272727272727,50.952380952380956,True
Teknologi,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,29,15,51.724137931034484,48.48484848484849,True
Teknologi,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,33,17,51.515151515151516,54.76190476190476,True
Teknologi,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 40/60,40,60,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,46,23,50.0,46.55172413793103,True
Teknologi,RSI,RSI14 | RSI 40/60 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,26,13,50.0,45.0,True
Teknologi,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 30/70,30,70,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,53,25,47.16981132075472,41.666666666666664,True
Teknologi,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 25/75,25,75,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,100,46,46.0,44.78632478632479,True
Teknologi,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 30/70,30,70,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,115,52,45.21739130434783,44.65811965811965,True
Teknologi,RSI,RSI14 | RSI 25/75 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 25/75,25,75,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,89,39,43.82022471910113,44.572649572649574,True
Teknologi,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,96,42,43.75,46.71052631578947,True
Teknologi,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 30/70,30,70,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,62,27,43.54838709677419,37.62626262626262,True
Teknologi,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 40/60,40,60,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,219,94,42.922374429223744,44.954365079365076,True
Teknologi,RSI,RSI14 | RSI 30/70 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 30/70,30,70,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,139,59,42.44604316546763,41.89255189255189,True
Teknologi,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 35/65,35,65,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,65,27,41.53846153846154,39.791666666666664,True
Teknologi,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 35/65,35,65,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,17,7,41.17647058823529,42.857142857142854,True
Teknologi,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,83,34,40.963855421686745,43.01801801801801,True
Teknologi,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,71,28,39.436619718309856,37.82828282828282,True
Teknologi,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 35/65,35,65,Without SMA50 Filter,False,No Candle Confirmation,False,No Volume Filter,False,20,0.0,182,71,39.010989010989015,39.07814407814408,True
Teknologi,RSI,RSI14 | RSI 35/65 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 35/65,35,65,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,18,7,38.88888888888889,39.285714285714285,True
Teknologi,RSI,RSI14 | RSI 35/65 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 35/65,35,65,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,147,57,38.775510204081634,35.51892551892552,True
Teknologi,RSI,RSI14 | RSI 40/60 | Without SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 40/60,40,60,Without SMA50 Filter,False,Candle Confirmation,True,No Volume Filter,False,20,0.0,165,63,38.18181818181819,38.51190476190476,True
Teknologi,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | No Volume Filter,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,No Volume Filter,False,20,0.0,6,4,66.66666666666666,70.0,False
Teknologi,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | No Volume Filter,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,No Volume Filter,False,20,0.0,6,4,66.66666666666666,70.0,False
Teknologi,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,3,2,66.66666666666666,66.66666666666667,False
Teknologi,RSI,RSI14 | RSI 25/75 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 25/75,25,75,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,3,2,66.66666666666666,66.66666666666667,False
Teknologi,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | Candle Confirmation | Volume >= VolMA20,RSI 30/70,30,70,With SMA50 Filter,True,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,9,4,44.44444444444444,50.0,False
Teknologi,RSI,RSI14 | RSI 30/70 | With SMA50 Filter | No Candle Confirmation | Volume >= VolMA20,RSI 30/70,30,70,With SMA50 Filter,True,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,9,4,44.44444444444444,50.0,False
