sector,variant,pair_label,fast_window,slow_window,threshold_label,threshold_pct,volume_label,use_volume_filter,volume_window,volume_multiplier,signal_column,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
Energi,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0_VOL_Signal,24,17,70.83333333333334,67.5,True
Energi,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,13,9,69.23076923076923,66.66666666666667,True
Energi,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0025_VOL_Signal,16,11,68.75,62.5,True
Energi,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p001_VOL_Signal,20,13,65.0,59.375,True
Energi,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p005_VOL_Signal,10,6,60.0,56.25,True
Energi,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0_VOL_Signal,21,12,57.14285714285714,57.407407407407405,True
Energi,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0_NOVOL_Signal,52,29,55.769230769230774,53.273809523809526,True
Energi,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p005_NOVOL_Signal,11,6,54.54545454545454,55.0,True
Energi,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0025_NOVOL_Signal,34,18,52.94117647058824,43.75,True
Energi,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p001_NOVOL_Signal,46,24,52.17391304347826,46.91358024691358,True
Energi,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p005_NOVOL_Signal,22,11,50.0,40.625,True
Energi,SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0_NOVOL_Signal,49,24,48.97959183673469,52.976190476190474,True
Energi,SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p001_NOVOL_Signal,31,15,48.38709677419355,50.0,True
Energi,SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0025_NOVOL_Signal,18,8,44.44444444444444,43.333333333333336,True
Energi,SMA20/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0025_VOL_Signal,7,5,71.42857142857143,66.66666666666667,False
Energi,SMA20/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p005_VOL_Signal,6,4,66.66666666666666,66.66666666666667,False
Energi,SMA50/SMA200 | No Threshold | No Volume Filter,SMA50/SMA200,50,200,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p0_NOVOL_Signal,0,0,0.0,0.0,False
Energi,SMA50/SMA200 | No Threshold | Volume >= VolMA20,SMA50/SMA200,50,200,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p0_VOL_Signal,0,0,0.0,0.0,False
Energi,SMA50/SMA200 | Threshold 0.10% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p001_NOVOL_Signal,0,0,0.0,0.0,False
Energi,SMA50/SMA200 | Threshold 0.10% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p001_VOL_Signal,0,0,0.0,0.0,False
Energi,SMA50/SMA200 | Threshold 0.25% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p0025_NOVOL_Signal,0,0,0.0,0.0,False
Energi,SMA50/SMA200 | Threshold 0.25% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p0025_VOL_Signal,0,0,0.0,0.0,False
Energi,SMA50/SMA200 | Threshold 0.50% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p005_NOVOL_Signal,0,0,0.0,0.0,False
Energi,SMA50/SMA200 | Threshold 0.50% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p005_VOL_Signal,0,0,0.0,0.0,False
Finansial,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p005_NOVOL_Signal,15,9,60.0,66.66666666666667,True
Finansial,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p005_VOL_Signal,10,6,60.0,61.111111111111114,True
Finansial,SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p001_NOVOL_Signal,40,23,57.49999999999999,56.0,True
Finansial,SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0_NOVOL_Signal,62,34,54.83870967741935,57.323232323232325,True
Finansial,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,15,8,53.333333333333336,53.84615384615385,True
Finansial,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0_VOL_Signal,24,12,50.0,50.0,True
Finansial,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0_VOL_Signal,35,17,48.57142857142857,56.25,True
Finansial,SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0025_NOVOL_Signal,21,10,47.61904761904761,53.125,True
Finansial,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p001_VOL_Signal,22,10,45.45454545454545,50.0,True
Finansial,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0025_NOVOL_Signal,31,14,45.16129032258064,51.51515151515151,True
Finansial,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0025_VOL_Signal,18,8,44.44444444444444,50.0,True
Finansial,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0_NOVOL_Signal,79,35,44.303797468354425,52.73148148148148,True
Finansial,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p001_NOVOL_Signal,50,20,40.0,43.01075268817204,True
Finansial,SMA20/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p005_VOL_Signal,2,1,50.0,50.0,False
Finansial,SMA20/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0025_VOL_Signal,7,3,42.857142857142854,41.666666666666664,False
Finansial,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p005_NOVOL_Signal,6,2,33.33333333333333,33.333333333333336,False
Finansial,SMA50/SMA200 | No Threshold | No Volume Filter,SMA50/SMA200,50,200,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p0_NOVOL_Signal,0,0,0.0,0.0,False
Finansial,SMA50/SMA200 | No Threshold | Volume >= VolMA20,SMA50/SMA200,50,200,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p0_VOL_Signal,0,0,0.0,0.0,False
Finansial,SMA50/SMA200 | Threshold 0.10% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p001_NOVOL_Signal,0,0,0.0,0.0,False
Finansial,SMA50/SMA200 | Threshold 0.10% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p001_VOL_Signal,0,0,0.0,0.0,False
Finansial,SMA50/SMA200 | Threshold 0.25% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p0025_NOVOL_Signal,0,0,0.0,0.0,False
Finansial,SMA50/SMA200 | Threshold 0.25% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p0025_VOL_Signal,0,0,0.0,0.0,False
Finansial,SMA50/SMA200 | Threshold 0.50% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p005_NOVOL_Signal,0,0,0.0,0.0,False
Finansial,SMA50/SMA200 | Threshold 0.50% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p005_VOL_Signal,0,0,0.0,0.0,False
Industri,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,12,8,66.66666666666666,66.66666666666667,True
Industri,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p005_NOVOL_Signal,20,13,65.0,62.82051282051282,True
Industri,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0_VOL_Signal,16,10,62.5,62.5,True
Industri,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0025_NOVOL_Signal,29,17,58.620689655172406,57.93650793650794,True
Industri,SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p001_NOVOL_Signal,31,18,58.06451612903226,55.76923076923077,True
Industri,SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0_NOVOL_Signal,39,22,56.41025641025641,60.3448275862069,True
Industri,SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0025_NOVOL_Signal,16,9,56.25,53.57142857142857,True
Industri,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p005_VOL_Signal,11,6,54.54545454545454,55.55555555555556,True
Industri,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0025_VOL_Signal,15,8,53.333333333333336,53.84615384615385,True
Industri,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p001_NOVOL_Signal,47,25,53.191489361702125,55.654761904761905,True
Industri,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0_NOVOL_Signal,54,28,51.85185185185185,56.60919540229885,True
Industri,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0_VOL_Signal,26,13,50.0,54.62962962962963,True
Industri,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p001_VOL_Signal,22,11,50.0,52.083333333333336,True
Industri,SMA20/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0025_VOL_Signal,8,6,75.0,75.0,False
Industri,SMA20/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p005_VOL_Signal,4,3,75.0,75.0,False
Industri,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p005_NOVOL_Signal,5,3,60.0,60.0,False
Industri,SMA50/SMA200 | No Threshold | No Volume Filter,SMA50/SMA200,50,200,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p0_NOVOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | No Threshold | Volume >= VolMA20,SMA50/SMA200,50,200,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p0_VOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | Threshold 0.10% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p001_NOVOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | Threshold 0.10% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p001_VOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | Threshold 0.25% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p0025_NOVOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | Threshold 0.25% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p0025_VOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | Threshold 0.50% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p005_NOVOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | Threshold 0.50% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p005_VOL_Signal,0,0,0.0,0.0,False
Teknologi,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p005_NOVOL_Signal,13,10,76.92307692307693,81.81818181818181,True
Teknologi,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,13,9,69.23076923076923,68.18181818181819,True
Teknologi,SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0_NOVOL_Signal,44,28,63.63636363636363,66.11111111111111,True
Teknologi,SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0025_NOVOL_Signal,19,12,63.1578947368421,75.0,True
Teknologi,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0_VOL_Signal,19,12,63.1578947368421,59.375,True
Teknologi,SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p001_NOVOL_Signal,32,20,62.5,66.66666666666667,True
Teknologi,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0_NOVOL_Signal,46,22,47.82608695652174,47.32142857142857,True
Teknologi,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p001_NOVOL_Signal,39,17,43.58974358974359,45.83333333333333,True
Teknologi,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0_VOL_Signal,18,7,38.88888888888889,42.30769230769231,True
Teknologi,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0025_NOVOL_Signal,27,9,33.33333333333333,35.60606060606061,True
Teknologi,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p005_NOVOL_Signal,19,6,31.57894736842105,32.35294117647059,True
Teknologi,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p001_VOL_Signal,14,4,28.57142857142857,33.333333333333336,True
Teknologi,SMA20/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p005_VOL_Signal,4,4,100.0,100.0,False
Teknologi,SMA20/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0025_VOL_Signal,6,5,83.33333333333334,83.33333333333333,False
Teknologi,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0025_VOL_Signal,9,1,11.11111111111111,14.285714285714286,False
Teknologi,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p005_VOL_Signal,7,0,0.0,0.0,False
Teknologi,SMA50/SMA200 | No Threshold | No Volume Filter,SMA50/SMA200,50,200,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p0_NOVOL_Signal,0,0,0.0,0.0,False
Teknologi,SMA50/SMA200 | No Threshold | Volume >= VolMA20,SMA50/SMA200,50,200,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p0_VOL_Signal,0,0,0.0,0.0,False
Teknologi,SMA50/SMA200 | Threshold 0.10% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p001_NOVOL_Signal,0,0,0.0,0.0,False
Teknologi,SMA50/SMA200 | Threshold 0.10% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p001_VOL_Signal,0,0,0.0,0.0,False
Teknologi,SMA50/SMA200 | Threshold 0.25% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p0025_NOVOL_Signal,0,0,0.0,0.0,False
Teknologi,SMA50/SMA200 | Threshold 0.25% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p0025_VOL_Signal,0,0,0.0,0.0,False
Teknologi,SMA50/SMA200 | Threshold 0.50% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p005_NOVOL_Signal,0,0,0.0,0.0,False
Teknologi,SMA50/SMA200 | Threshold 0.50% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p005_VOL_Signal,0,0,0.0,0.0,False
